<fa/لیلی_امیرارجمند>,<wikicat_Living_people>
<fa/لیلی_امیرارجمند>,<wikicat_People_from_Tehran>
<Sattar_Khan>,<wikicat_Iranian_politicians>
<Sattar_Khan>,<wikicat_People_from_Tabriz>
<Sattar_Khan>,<wikicat_People_of_the_Persian_Constitutional_Revolution>
<Sattar_Khan>,<wikicat_Revolutionaries>
<Sattar_Khan>,<wordnet_person_100007846>
<Dariush_Forouhar>,<wikicat_Assassinated_Iranian_politicians>
<Dariush_Forouhar>,<wikicat_Assassinated_politicians>
<Dariush_Forouhar>,<wikicat_Government_ministers_of_Iran>
<Dariush_Forouhar>,<wikicat_Iranian_democracy_activists>
<Dariush_Forouhar>,<wikicat_National_Front_(Iran)_politicians>
<Dariush_Forouhar>,<wikicat_People_from_Isfahan>
<Dariush_Forouhar>,<wikicat_People_murdered_in_Iran>
<Dariush_Forouhar>,<wordnet_minister_110320863>
<Dariush_Forouhar>,<wordnet_officeholder_110371450>
<fa/صفی_قلی‌خان>,<wikicat_Iranian_people_of_Georgian_descent>
<fa/صفی_قلی‌خان>,<wikicat_Iranian_politicians>
<Mozaffar_Alam>,<wikicat_Government_ministers_of_Iran>
<Mozaffar_Alam>,<wikicat_Iranian_governors>
<Mozaffar_Alam>,<wikicat_Iranian_military_commanders>
<Mozaffar_Alam>,<wikicat_Iranian_politicians>
<Mozaffar_Alam>,<wordnet_person_100007846>
<Ali_Amini>,<wikicat_Ambassadors_of_Iran_to_the_United_States>
<Ali_Amini>,<wikicat_Government_ministers_of_Iran>
<Ali_Amini>,<wikicat_Iranian_exiles>
<Ali_Amini>,<wikicat_Iranian_expatriates_in_France>
<Ali_Amini>,<wikicat_Iranian_people>
<Ali_Amini>,<wikicat_Iranian_politicians>
<Ali_Amini>,<wikicat_People_from_Tehran>
<Ali_Amini>,<wikicat_Prime_Ministers_of_Iran>
<Ali_Amini>,<wordnet_officeholder_110371450>
<Ali_Amini>,<wordnet_president_110467179>
<Abolqasem_Najm>,<wikicat_Ambassadors_of_Iran>
<Abolqasem_Najm>,<wikicat_Ambassadors_of_Iran_to_Afghanistan>
<Abolqasem_Najm>,<wikicat_Ambassadors_of_Iran_to_France>
<Abolqasem_Najm>,<wikicat_Ambassadors_of_Iran_to_Germany>
<Abolqasem_Najm>,<wikicat_Ambassadors_of_Iran_to_Iraq>
<Abolqasem_Najm>,<wikicat_Ambassadors_of_Iran_to_Japan>
<Abolqasem_Najm>,<wikicat_Government_ministers_of_Iran>
<Abolqasem_Najm>,<wikicat_Iranian_Majlis_Representatives>
<Abolqasem_Najm>,<wikicat_Iranian_diplomats>
<Abolqasem_Najm>,<wikicat_Iranian_governors>
<Abolqasem_Najm>,<wikicat_Persian_people>
<Abolqasem_Najm>,<wordnet_officeholder_110371450>
<ar/سياماك_ميرسيدي>,<wikicat_Iranian_politicians>
<Feridoun_Jam>,<wikicat_Iranian_politicians>
<Feridoun_Jam>,<wikicat_People_from_Tabriz>
<Mirza_Mehdi_Khan_Astarabadi>,<wikicat_18th-century_Iranian_people>
<Mirza_Mehdi_Khan_Astarabadi>,<wikicat_18th-century_historians>
<Mirza_Mehdi_Khan_Astarabadi>,<wikicat_Historians_of_Iran>
<Mirza_Mehdi_Khan_Astarabadi>,<wikicat_Iranian_historians>
<Mirza_Mehdi_Khan_Astarabadi>,<wikicat_Iranian_politicians>
<Mirza_Mehdi_Khan_Astarabadi>,<wikicat_Muslim_historians>
<Mirza_Mehdi_Khan_Astarabadi>,<wikicat_People_from_Gorgan>
<Mirza_Mehdi_Khan_Astarabadi>,<wordnet_person_100007846>
<Hekmat_E_Shirazi>,<wikicat_Cold_War_leaders>
<Hekmat_E_Shirazi>,<wikicat_Government_ministers_of_Iran>
<Hekmat_E_Shirazi>,<wikicat_Iranian_democracy_activists>
<Hekmat_E_Shirazi>,<wikicat_Iranian_governors>
<Hekmat_E_Shirazi>,<wikicat_Iranian_humanitarians>
<Hekmat_E_Shirazi>,<wordnet_minister_110320863>
<Mahmoud_Ahmadinejad>,<wikicat_9/11_conspiracy_theorists>
<Mahmoud_Ahmadinejad>,<wikicat_Heads_of_state_of_Iran>
<Mahmoud_Ahmadinejad>,<wikicat_Iranian_civil_engineers>
<Mahmoud_Ahmadinejad>,<wikicat_Iranian_governors>
<Mahmoud_Ahmadinejad>,<wikicat_Iranian_politicians>
<Mahmoud_Ahmadinejad>,<wikicat_Living_people>
