<Mina_Ahadi>,<Abhar>
<Fathollah_Khan_Akbar>,<Rasht>
<Kuchik_Khan>,<Rasht>
<Mohammad_Bagher_Nobakht>,<Rasht>
<Ghorbanali_Dorri-Najafabadi>,"<Rey,_Iran>"
<Mohammad_Reyshahri>,"<Rey,_Iran>"
<Nematollah_Nassiri>,"<Semnan,_Iran>"
<Mohammad_Reza_Rahimi>,<Serishabad>
<Teymur_Bakhtiar>,<Shahr-e_Kord>
<Heydar_Moslehi>,<Shahreza>
<fa/الیاس_نادران>,"<Shahrud,_Iran>"
<fa/محمد_فرهادی>,"<Shahrud,_Iran>"
<Ahmad_Vahidi>,<Shiraz>
<Alireza_Tahmasbi>,<Shiraz>
<Ali_Shariatmadari>,<Shiraz>
<Emad_Afroogh>,<Shiraz>
<Gholam_Reza_Azhari>,<Shiraz>
<Zia'eddin_Tabatabaee>,<Shiraz>
<Abdolreza_Rahmani_Fazli>,"<Shirvan,_Iran>"
<Eshaq_Jahangiri>,<Sirjan>
<Hassan_Rouhani>,<Sorkheh>
<Kazem_Rajavi>,<Tabas>
<Massoud_Rajavi>,<Tabas>
<Abdol-Hossein_Mirza_Farmanfarma>,<Tabriz>
<Ali_Soheili>,<Tabriz>
<Bāqer_Khān>,<Tabriz>
<Ebrahim_Hakimi>,<Tabriz>
<Hassan_Pirnia>,<Tabriz>
<Hassan_Taqizadeh>,<Tabriz>
<Mahmoud_Djam>,<Tabriz>
<Masoud_Pezeshkian>,<Tabriz>
<Mohammadreza_Nematzadeh>,<Tabriz>
<Abbas_Ali_Khalatbari>,<Tehran>
<Abdolvahed_Mousavi_Lari>,<Tehran>
<Abdol_Hossein_Sardari>,<Tehran>
<Abol-Ghasem_Kashani>,<Tehran>
<Abolqasem_Najm>,<Tehran>
<Ahmad_Amir-Ahmadi>,<Tehran>
<Ahmad_Bourghani>,<Tehran>
<Ahmad_Masjed-Jamei>,<Tehran>
<Ahmad_Matin-Daftari>,<Tehran>
<Ahmad_Qavam>,<Tehran>
<Akbar_Torkan>,<Tehran>
<Ali-Akbar_Davar>,<Tehran>
<Ali-Akbar_Dehkhoda>,<Tehran>
<Ali_Akbar_Javanfekr>,<Tehran>
<Ali_Akbar_Mohtashamipur>,<Tehran>
<Ali_Akbar_Velayati>,<Tehran>
<Ali_Amini>,<Tehran>
<Ali_Mansur>,<Tehran>
