<Mohammad-Ali_Najafi>,<Sharif_University_of_Technology>
<Parviz_Davoodi>,<Iowa_State_University>
<Kamal_Kharazi>,<University_of_Houston>
<Mohammad_Javad_Zarif>,<University_of_Denver>
<Farrokhroo_Parsa>,<University_of_Tehran>
<Abdol_Hossein_Sardari>,<University_of_Geneva>
<Ebrahim_Yazdi>,<Baylor_University>
<Ali_Soheili>,<University_of_Tehran>
<Mohammad_Beheshti>,<University_of_Tehran>
<Rostam_Ghasemi>,<Sharif_University_of_Technology>
<Sadegh_Tabatabai>,<Ruhr_University_Bochum>
<Gholam-Hossein_Elham>,<University_of_Tehran>
<Mohammad-Ali_Najafi>,<Massachusetts_Institute_of_Technology>
<Akbar_Torkan>,<Sharif_University_of_Technology>
<Mir-Hossein_Mousavi>,<Shahid_Beheshti_University>
<fa/محمد_شریعتمداری>,<Shahid_Bahonar_University_of_Kerman>
<Eshaq_Jahangiri>,<Shahid_Bahonar_University_of_Kerman>
<Rahman_Dadman>,<University_of_Tehran>
<Ali_Akbar_Velayati>,<University_of_Tehran>
<Mohsen_Nourbakhsh>,<University_of_Tehran>
<Mohammad_Gharazi>,<University_of_Tehran>
<Amir_Mohebbian>,<Islamic_Azad_University>
<Safdar_Hosseini>,<University_of_Saskatchewan>
<Alireza_Tahmasbi>,<Shiraz_University>
<Mohammad_Hossein_Adeli>,<Jamia_Millia_Islamia>
<Mohsen_Rezaee>,<University_of_Tehran>
<Ata'ollah_Mohajerani>,<Shiraz_University>
<Kazem_Sami>,<University_of_Tehran>
<Mohammadreza_Nematzadeh>,<California_Polytechnic_State_University>
<Mohammad_Ali_Jafari>,<University_of_Tehran>
<Mostafa_Chamran>,"<University_of_California,_Berkeley>"
<Mohsen_Mirdamadi>,<University_of_Tehran>
<Faezeh_Hashemi>,<University_of_Birmingham>
<Hossein_Dehghan>,<University_of_Tehran>
<Gholam_Reza_Azhari>,<National_War_College>
<Ebrahim_Yazdi>,<University_of_Tehran>
