<Ali_Reza_Khan_Azod_al-Molk>,<male>,
<Ali_Reza_Pahlavi_I>,,
<Ali_Shakouri-Rad>,<male>,"علی شکوری‌راد"@fas
<Ali_Shamkhani>,<male>,"شمخانی"@fas
<Ali_Shariatmadari>,<male>,"علي شريعتمداري"@fas
<Ali_Shayegan>,<male>,"دكتر شايگان"@fas
<Ali_Soheili>,<male>,"علی سهیلی"@fas
<Ali_Tayebnia>,<male>,
<Ali_Younesi>,<male>,"علي يونسي"@fas
<Amanullah_Jahanbani>,<male>,"امان الله جهانباني"@fas
<Amir-Abbas_Hoveyda>,<male>,"عباس هويدا"@fas
<Amirreza_Amirbakhtiar>,<male>,"اميررضا اميربختيار"@fas
<Amir_Abdollah_Tahmasebi>,<male>,"عبدالله‌خان امیر طهماسبی"@fas
<Amir_Arshad>,<male>,
<Amir_Kabir>,<male>,"میرزا تقی خان امیر کبیر"@fas
<Amir_Khosrow_Afshar>,<male>,
<Amir_Mohebbian>,<male>,"امير محبيان"@fas
<Amir_Reza_Khadem>,<male>,"اميررضا خادم"@fas
<ar/أمير_عباس_هويدا>,,
<ar/إبراهيم_مردوخي>,,
<ar/حسن_‌أمیني>,,"حسن اميني"@fas
<ar/سياماك_ميرسيدي>,,
<ar/عبد_الرحمن_بيراني>,,
<ar/محمود_ويسي>,,
<ar/ناصر_سبحاني>,,"ناصر سبحاني/موقت"@fas
<Ardeshir_Zahedi>,<male>,"اردشير زاهدي"@fas
<Asadollah_Abbasi>,<male>,
<Asadollah_Alam>,<male>,"امير اسدالله علم"@fas
<Ashraf_Dehghani>,<female>,"اشرف دهقانی"@fas
<Ashraf_Pahlavi>,,
<Ata'ollah_Mohajerani>,<male>,"سید عطاالله مهاجرانی"@fas
<Azar_Majedi>,,"اذر ماجدي"@fas
<Azizkhan_Mokri>,,"سردار عزيز خان مكري"@fas
<Bahram_Mavaddat>,<male>,"بهرام مودت"@fas
<Bal'ami>,,"ابوعلی بلعمی"@fas
<Bāqer_Khān>,<male>,"سالار ملي"@fas
<Behzad_Nabavi>,<male>,"بهزاد نبوي"@fas
<Bijan_Namdar_Zangeneh>,<male>,"بيژن زنگنه"@fas
<Cabinet_of_Iran>,<male>,"کابینه ایران"@fas
<Dariush_Forouhar>,<male>,"داريوش فروهر"@fas
<Dariush_Homayoon>,<male>,"داريوش همايون"@fas
<Davoud_Ahmadinejad>,<male>,"داوود احمدي نژاد"@fas
<Davoud_Danesh-Jafari>,<male>,"داود دانش جعفری"@fas
<de/Abolqasem_Naser_al_Molk>,,
<de/Alinaghi_Alikhani>,,
<de/Ali_Reza_Khan_Azod_al_Molk>,,"عضدالملك"@fas
<de/Ebrahim_Alam>,,
<de/Hossein_Pirnia>,,"مؤتمن الملك"@fas
<de/Mohammad_Ali_Khan_Ala_al-Saltaneh>,,"میرزا محمدعلی خان علاءالسلطنه"@fas
<de/Mohammed_Hossein_Saif_Qazi>,,
<de/Najaf_Qoli_Khan_Samsam_al-Saltaneh>,,
<de/Parviz_Nikkhah>,,
<de/Seyed_Mehdi_Miraboutalebi>,,"سید مهدی میرابوطالبی"@fas
<de/Zabihollah_Bakhshi>,,
<Div_Sultan_Rumlu>,<male>,"دیوسلطان"@fas
<Ebrahim_Hakimi>,<male>,"ابراهیم حکیم الممالک"@fas
<Ebrahim_Khan_Kalantar>,<male>,
<Ebrahim_Yazdi>,<male>,"ابراهم يزدي"@fas
<Effat_Marashi>,,"عفت مرعشی"@fas
<Emad_Afroogh>,<male>,"عمادالدين افروغ"@fas
<es/Mehranguiz_Manoutchehrian>,,
<es/Seyyed_Abdollah_Behbahaní>,,"عبدالله بهبهاني"@fas
<Esfandiar_Rahim_Mashaei>,<male>,"اسفندیار رحیم‌مشایی"@fas
<Eshaq_Jahangiri>,<male>,"اسحاق جهانگيري"@fas
<Esmail_Shooshtari>,<male>,"محمداسماعیل شوشتری"@fas
<Esmat_Dowlatshahi>,<female>,"عصمت دولتشاهی"@fas
<Ezzatollah_Sahabi>,<male>,"عزت اللّه سحابي"@fas
<fa/ابوالحسن_خان_مشیرالملک>,,"ابوالحسن خان مشیرالملک"@fas
<fa/ابوالقاسم_خان_بختیار>,,"ابوالقاسم خان بختيار"@fas
<fa/اسدالله_بادامچیان>,,"اسدالله بادامچيان"@fas
<fa/الیاس_نادران>,,"الیاس نادران"@fas
<fa/امیر_مفخم_بختیاری>,,"شجاع‌السلطان"@fas
<fa/امیرقلی_امینی>,,"امیر قلی امینی"@fas
<fa/حاج_باباخان_اردبیلی>,,"حاج بابا اردبيلي"@fas
<fa/حجت‌الله_ایوبی>,,"حجت الله ایوبی"@fas
<fa/حسن_علی_صارمی_کلالی>,,"حسن علی صارمی کلالی"@fas
<fa/حسن_قشقاوی>,,"حسن قشقاوي"@fas
<fa/حمید_زنگنه>,,"حمید زنگنه"@fas
<fa/حمیدرضا_کاتوزیان>,,"حمیدرضا کاتوزیان"@fas
<fa/زکریا_انصاری>,,"زکریا انصاری"@fas
<fa/سلطان_محمد_خان_سردار_اشجع>,,"سردار اشجع"@fas
<fa/سید_ابراهیم_رئیسی>,,"ابراهيم رئيسي"@fas
<fa/سید_طاهر_طاهری>,,"سيد طاهر طاهري"@fas
<fa/سید_عبدالباقی_شیرازی>,,"سيد عبدالباقي شيرازي"@fas
<fa/سید_علی‌رضا_بهشتی_شیرازی>,,"سيد عليرضا بهشتي شيرازي"@fas
<fa/سیروس_آموزگار>,,"سيروس اموزگار"@fas
<fa/صفی_قلی‌خان>,,"صفی قلی خان"@fas
<fa/عباس_امیری‌فر>,,"عباس اميري فر"@fas
<fa/عبدالقدیر_آزاد>,,"عبدالقدير آزاد"@fas
<fa/علی_اکبر_فرازی>,,"علي اكبر فرازي"@fas
<fa/علی_مصطفوی>,,"دکتر علی مصطفوی"@fas
<fa/علی‌اکبر_اشعری>,,"علی‌اکبر اشعری"@fas
<fa/غلامحسین_خان_سالار_محتشم>,,"غلامحسین خان سالار محتشم"@fas
<fa/فؤاد_روحانی>,,"فواد روحانی"@fas
