<id_cplzy7_p3m_zkjp59>	<Ali_Akbar_Salehi>	<hasGender>	<male>	

<id_1645j2l_dhj_5uo9mw>	<Mohammad-Javad_Bahonar>	<diedIn>	<Tehran>	

<id_99ud2h_oyl_10k7k3s>	<Hushang_Ansary>	<wasBornIn>	<Ahvaz>	

<id_ml4joc_p3m_zkjp59>	<Amanullah_Jahanbani>	<hasGender>	<male>	

<id_1uqyqw3_14h_zjx1yu>	<de/Abolqasem_Naser_al_Molk>	<isPoliticianOf>	<Iran>	

<id_ozfjdo_14h_zjx1yu>	<Ahmad_Qavam>	<isPoliticianOf>	<Iran>	

<id_1sxeaif_10x_knw1r3>	<Mohammad-Reza_Khatami>	<graduatedFrom>	<University_of_Tehran>	

<id_wkr0me_147_1ktvu0>	<Abdollah_Javadi-Amoli>	<isInterestedIn>	<Islamic_philosophy>	

<id_1v3u0fp_p3m_zkjp59>	<Alireza_Sheikhattar>	<hasGender>	<male>	

<id_2fed1t_p3m_zkjp59>	<Taqi_Arani>	<hasGender>	<male>	

<id_1645j2l_10x_knw1r3>	<Mohammad-Javad_Bahonar>	<graduatedFrom>	<University_of_Tehran>	

<id_1cqg9qt_p3m_zkjp59>	<Manutchehr_Salimi>	<hasGender>	<male>	

<id_qoz2fv_14h_zjx1yu>	<Firouz_Nosrat-ed-Dowleh_III>	<isPoliticianOf>	<Iran>	

<id_enaevp_p3m_zkjp59>	<Karim_Khodapanahi>	<hasGender>	<male>	

<id_1jf0iep_p3m_zkjp59>	<Abolhassan_Banisadr>	<hasGender>	<male>	

<id_nb6hgd_p3m_zkjp59>	<Ali_Shayegan>	<hasGender>	<male>	

<id_1g9yriq_14h_zjx1yu>	<Hosein_Dadgar>	<isPoliticianOf>	<Iran>	

<id_11po5q1_p3m_zkjp59>	<Mahmudali_Chehregani>	<hasGender>	<male>	

<id_tyv2ke_1s2_njlemu>	<Ahmad_Tavakkoli>	<isAffiliatedTo>	<Islamic_Coalition_Party>	

<id_1oa1fw7_1s2_ulk8te>	<Ali_Mansur>	<isAffiliatedTo>	<Revival_Party>	

<id_c1x6cd_14h_zjx1yu>	<Hajj_Mirza_Aghasi>	<isPoliticianOf>	<Iran>	

<id_gcwdb6_12k_1bbidkp>	<Hassan_Taqizadeh>	<livesIn>	<Zahir-od-dowleh_cemetery>	

<id_1h8zcle_1s2_z491o>	<Eshaq_Jahangiri>	<isAffiliatedTo>	<Executives_of_Construction_Party>	

<id_186r1nc_oyl_qjrks0>	<Mohsen_Nourbakhsh>	<wasBornIn>	<Isfahan>	

<id_1getz4o_dhj_6pdui8>	<Kuchik_Khan>	<diedIn>	<Khalkhal>	

<id_qqx2eh_1s2_oifivf>	<Hassan_Nayebagha>	<isAffiliatedTo>	<Iran_national_football_team>	

<id_ybxt8k_14h_zjx1yu>	<Gholam_Hossein_Sadighi>	<isPoliticianOf>	<Iran>	

<id_30ibi3_p3m_zkjp59>	<Mohammad_Ali_Foroughi>	<hasGender>	<male>	

<id_1v66fii_1sv_1bggoqr>	<Hussein-Ali_Montazeri>	<influences>	<Mohsen_Kadivar>	

<id_1v66fii_1sv_1bggoqr>	<Hussein-Ali_Montazeri>	<influences>	<Mohsen_Kadivar>	

<id_11e3t5p_oyl_qjrks0>	<Mohammad_Gharazi>	<wasBornIn>	<Isfahan>	

<id_ljjvsd_ice_srg4wi>	<Mehdi_Karroubi>	<hasWebsite>	<http://sahamnews.org/>	

<id_126esoo_11e_3rh205>	<Aga_Khan_III>	<hasChild>	<Prince_Sadruddin_Aga_Khan>	

<id_t45thr_oyl_17yk28p>	<Mohammad_Vali_Khan_Tonekaboni>	<wasBornIn>	<Tonekabon>	

<id_8qsheu_p3m_zkjp59>	<Hassan_Pirnia>	<hasGender>	<male>	

<id_cplzy7_10x_1rlrq5d>	<Ali_Akbar_Salehi>	<graduatedFrom>	<American_University_of_Beirut>	

<id_1208dv5_10x_knw1r3>	<Jahangir_Amuzegar>	<graduatedFrom>	<University_of_Tehran>	

<id_111im9r_oyl_11mfgx3>	<Teymur_Bakhtiar>	<wasBornIn>	<Shahr-e_Kord>	

<id_1fqzplx_1s2_13wqf5y>	<Mohsen_Sadr>	<isAffiliatedTo>	<Socialist_Party_(Iran)>	

<id_biin8f_p3m_zkjp59>	<Mahmud_Mahmud>	<hasGender>	<male>	

<id_iaad3i_p3m_zkjp59>	<Hamid-Reza_Assefi>	<hasGender>	<male>	

<id_1sutk9a_p3m_zkjp59>	<Yahya_Ale_Eshaq>	<hasGender>	<male>	

<id_ljjvsd_16x_feo9ha>	<Mehdi_Karroubi>	<isMarriedTo>	<Fatemeh_Karroubi>	

<id_ljjvsd_16x_feo9ha>	<Mehdi_Karroubi>	<isMarriedTo>	<Fatemeh_Karroubi>	

<id_feo9ha_16x_ljjvsd>	<Fatemeh_Karroubi>	<isMarriedTo>	<Mehdi_Karroubi>	

<id_feo9ha_16x_ljjvsd>	<Fatemeh_Karroubi>	<isMarriedTo>	<Mehdi_Karroubi>	

<id_1jf0iep_1s2_1jvigea>	<Abolhassan_Banisadr>	<isAffiliatedTo>	<Independent_(politician)>	

<id_61n2pr_p3m_zkjp59>	<Heidar_Arfaa>	<hasGender>	<male>	

<id_vf6wuz_14h_zjx1yu>	<Ahmad_Sadegh-Bonab>	<isPoliticianOf>	<Iran>	

<id_cvfaf6_p3m_zkjp59>	<Sadegh_Tabatabai>	<hasGender>	<male>	

<id_vtrn3n_14h_zjx1yu>	<Mohammad_Bahrami>	<isPoliticianOf>	<Iran>	

<id_1cyrfyl_ab2_1a97p56>	<Shirin_Ebadi>	<hasWonPrize>	<Nobel_Peace_Prize>	

<id_1b43ekz_16x_1itzycl>	<Dariush_Forouhar>	<isMarriedTo>	<Parvaneh_Eskandari_Forouhar>	

<id_1b43ekz_16x_1itzycl>	<Dariush_Forouhar>	<isMarriedTo>	<Parvaneh_Eskandari_Forouhar>	

<id_1itzycl_16x_1b43ekz>	<Parvaneh_Eskandari_Forouhar>	<isMarriedTo>	<Dariush_Forouhar>	

<id_1itzycl_16x_1b43ekz>	<Parvaneh_Eskandari_Forouhar>	<isMarriedTo>	<Dariush_Forouhar>	

<id_7flg1q_10x_1vpnd03>	<Manouchehr_Ganji>	<graduatedFrom>	<University_of_Kentucky>	

<id_1dsfxrm_11e_16atgw9>	<Mehdi_Bazargan>	<hasChild>	<Abdolali_Bazargan>	

<id_4tqtuo_1s2_z491o>	<Hassan_Habibi>	<isAffiliatedTo>	<Executives_of_Construction_Party>	

<id_17z05ct_oyl_5sd9ji>	<Abdol-Hossein_Mirza_Farmanfarma>	<wasBornIn>	<Tabriz>	

<id_14kzoll_11e_1cu4v1a>	<Ahmad_Jannati>	<hasChild>	<Ali_Jannati>	

<id_14kzoll_11e_1cu4v1a>	<Ahmad_Jannati>	<hasChild>	<Ali_Jannati>	

<id_1couyr1_11e_39jd4w>	<Abdolhossein_Teymourtash>	<hasChild>	<Iran_Teymourtash>	

<id_1o0o82b_14h_zjx1yu>	<Mohammad-Ali_Rajai>	<isPoliticianOf>	<Iran>	

<id_1cu4v1a_14h_zjx1yu>	<Ali_Jannati>	<isPoliticianOf>	<Iran>	

<id_qsjqvo_dhj_5uo9mw>	<Mohammad_Reza_Ameli_Tehrani>	<diedIn>	<Tehran>	

<id_19bkl6r_ice_1ts9k55>	<Mohammad-Taqi_Mesbah-Yazdi>	<hasWebsite>	<http://www.mesbahyazdi.org/>	

<id_fq69ji_p3m_zkjp59>	<Sadeq_Khalilian>	<hasGender>	<male>	

<id_p2m5qk_ice_xo5eqk>	<Mohammad_Khatami>	<hasWebsite>	<http://www.Khatami.ir/>	

<id_8oqa33_p3m_zkjp59>	<Rashid-al-Din_Hamadani>	<hasGender>	<male>	

<id_13wdbet_10x_knw1r3>	<Kamal_Kharazi>	<graduatedFrom>	<University_of_Tehran>	

<id_1fvjcn8_14h_zjx1yu>	<Hossein_Fatemi>	<isPoliticianOf>	<Iran>	

<id_1mylome_dhj_5uo9mw>	<Abdullah_Entezam>	<diedIn>	<Tehran>	

<id_imq5du_14h_zjx1yu>	<Mohammad-Reza_Mahdavi_Kani>	<isPoliticianOf>	<Iran>	

<id_1eexj36_oyl_5fao0n>	<Zia'eddin_Tabatabaee>	<wasBornIn>	<Shiraz>	

<id_9jayey_p3m_zkjp59>	<Emad_Afroogh>	<hasGender>	<male>	

<id_1sutk9a_oyl_zilrsf>	<Yahya_Ale_Eshaq>	<wasBornIn>	<Qom>	

<id_1irpyv0_p3m_zkjp59>	<Mahmoud_Farshidi>	<hasGender>	<male>	

<id_1yd3utl_p3m_zkjp59>	<Mohsen_Rafighdoost>	<hasGender>	<male>	

<id_1wbp6hf_1ul_qhufur>	<Abdul-Karim_Mousavi_Ardebili>	<playsFor>	<Spain_national_under-18_football_team>	

<id_a0xmbx_tje_zjx1yu>	<Ali-Akbar_Dehkhoda>	<isCitizenOf>	<Iran>	

<id_hhhpjx_16x_3u9yei>	<Akbar_Hashemi_Rafsanjani>	<isMarriedTo>	<Effat_Marashi>	

<id_hhhpjx_16x_3u9yei>	<Akbar_Hashemi_Rafsanjani>	<isMarriedTo>	<Effat_Marashi>	

<id_3u9yei_16x_hhhpjx>	<Effat_Marashi>	<isMarriedTo>	<Akbar_Hashemi_Rafsanjani>	

<id_3u9yei_16x_hhhpjx>	<Effat_Marashi>	<isMarriedTo>	<Akbar_Hashemi_Rafsanjani>	

<id_kqy7tr_14h_zjx1yu>	<Karim_Sanjabi>	<isPoliticianOf>	<Iran>	

